question,answer,tokens_present,document
What is the date of the agreement?,"The agreement is dated as of the [insert date] day of [insert month], 20[insert year].","['[insert date]', '[insert month]', '20[insert year]']",Broker_Agreement.pdf
What is the purpose of the agreement?,"The agreement is made between Liberty Savings Bank, FSB (LSB) and [insert name of seller] for the sale of loans.","['agreement', 'Liberty Savings Bank', 'FSB', 'loans']",Broker_Agreement.pdf
What representations and warranties does the seller make?,"The seller makes several representations and warranties, including that it is a duly organized and existing entity, authorized to do business in the relevant states, and that it has the necessary licenses and approvals. The seller also represents that it is in compliance with applicable laws and regulations.","['duly', 'organized', 'existing', 'authorized', 'licenses', 'approvals', 'compliance']",Broker_Agreement.pdf
What is the scope of the background checks that LSB may conduct?,"LSB may conduct background checks on the owners, members, and senior officers of the seller, including obtaining credit bureau reports and updates to such background information on a periodic basis.","['LSB', 'background', 'checks', 'owners', 'members', 'senior officers', 'seller', 'credit', 'bureau', 'reports', 'updates', 'periodic', 'basis']",Broker_Agreement.pdf
What laws and regulations must the seller comply with?,"The seller must comply with all applicable Federal, State, and local laws and regulations directly or indirectly relating to its activities under this agreement.","['Federal', 'State', 'local']",Broker_Agreement.pdf
What is the seller's solvency status?,The seller represents that it is solvent and that the sale of loans will not cause it to become insolvent.,['solvent'],Broker_Agreement.pdf
"Are there any pending or threatened actions, suits, proceedings, or investigations against the seller?","The seller represents that there are no such actions, suits, proceedings, or investigations pending or threatened against it.",['no'],Broker_Agreement.pdf
"Does the seller employ any entity or individual on the HUD, LDP, or FHLMC exclusionary list?","The seller represents that it does not currently and will not in the future employ any entity or individual on the HUD, LDP, or FHLMC exclusionary list or other similar lists.",['No'],Broker_Agreement.pdf
Does the agreement contain any misrepresentations or untrue statements of fact?,"The seller represents that neither this agreement nor any statement, report, or other information provided or to be provided pursuant to this agreement contains or will contain any misrepresentation or untrue statement of fact or omits or will omit to state a fact necessary to make the information not misleading.","['misrepresentation', 'untrue', 'statement', 'fact', 'omits']",Broker_Agreement.pdf
What is the duration of the agreement?,The agreement is effective as of the date of execution and shall continue in effect until terminated by either party upon [insert number] days' written notice to the other party.,['[insert number]'],Broker_Agreement.pdf
What is the duration of the initial term of the agreement between LSB and the seller?,The initial term of the agreement between LSB and the seller is for one year.,['one year'],Broker_Agreement.pdf
Can the seller use targeted advertising to solicit or encourage loan mortgagors to refinance their loans during the first twelve months after the loan is purchased by LSB?,"No, the seller cannot use targeted advertising to solicit or encourage loan mortgagors to refinance their loans during the first twelve months after the loan is purchased by LSB without LSB's prior written consent.",['No'],Broker_Agreement.pdf
Is the seller required to maintain any licenses to perform its obligations under the agreement?,"Yes, the seller is required to maintain all necessary licenses to perform its obligations under the agreement.",['Yes'],Broker_Agreement.pdf
Can the seller subcontract its obligations under the agreement to third parties?,"No, the seller cannot subcontract its obligations under the agreement to third parties without LSB's prior written consent.",['No'],Broker_Agreement.pdf
What happens if the seller fails to maintain any licenses in violation of the agreement?,"If the seller fails to maintain any licenses in violation of the agreement, LSB may terminate the agreement immediately.","['LSB', 'may', 'terminate', 'the', 'agreement', 'immediately']",Broker_Agreement.pdf
Is the seller allowed to identify LSB in any advertising?,"No, the seller is not allowed to identify LSB in any advertising unless otherwise required by applicable law and LSB has given its advance written approval.",['No'],Broker_Agreement.pdf
Can the seller respond to LSB's request for periodic financial statements?,"Yes, the seller can respond to LSB's request for periodic financial statements.",['Yes'],Broker_Agreement.pdf
What is the relationship between LSB and the seller under the agreement?,"Under the agreement, the relationship between LSB and the seller is that of an independent contractor.",['independent contractor'],Broker_Agreement.pdf
Can the seller act on behalf of LSB?,"No, the seller cannot act on behalf of LSB. The seller acknowledges that it does not have the authority, whether expressed or implied, to act on behalf of LSB.",['No'],Broker_Agreement.pdf
Is LSB responsible for any actions or omissions by the seller?,"No, LSB is not responsible for any actions or omissions by the seller. The seller agrees that LSB exercises no control over the methods, operations, and practices of the seller except as provided in the agreement and the Manual.",['No'],Broker_Agreement.pdf
What is the purpose of the agreement between Seller and LSB?,The purpose of the agreement is to outline the terms and conditions under which Seller will refer loans to LSB for purchase.,"['outline', 'terms', 'conditions', 'purchase']",Broker_Agreement.pdf
"What is the definition of ""Confidential Information"" in the agreement?","Confidential Information refers to any information provided by LSB to Seller that is not publicly known or accessible, including ""nonpublic personal information"" and ""personally identifiable financial information"" as defined in Section 573.3 of Title 12 of the Code of Federal Regulations.","['Confidential Information', 'nonpublic personal information', 'personally identifiable financial information', 'Section 573.3', 'Title 12', 'Code of Federal Regulations']",Broker_Agreement.pdf
What are Seller's obligations regarding Confidential Information?,"Seller is prohibited from disclosing or using any Confidential Information for any purpose other than to carry out the purposes for which LSB disclosed the information. Seller must also limit access to Confidential Information within its organization on a strict ""need to know"" basis and maintain adequate security measures to protect the information.",,Broker_Agreement.pdf
Can Seller assign its responsibilities under the agreement to any affiliated entity?,"No, Seller may not assign its responsibilities under the agreement to any affiliated entity.",['No'],Broker_Agreement.pdf
